,id,response,true_score
360,13124,"tRNA, rRNA, gRNA",0
361,13126,transcription,0
362,13127, The RNA attaches to ribosomes.  tRNA guides the RNA to the amino acid sequence.  The RNA attaches to the amino acid sequence.  Information is exchanged to make protein.,1
363,13128,"After the mRNA leaves the nucleus, it goes to the Golgi bodies where transfer RNA gets the sequence from the messenger RNA. ribosomes build the proper proteins that were coded in the RNA. The Golgi body then packages and ships out the proteins to the ER. In the Endoplasmic reticulum, the proteins are assembled into the protein strand the were meant to be.",0
364,13129, find the DNA strand collect the message return to the nucleas decode the message,0
365,13130,The nucleus gains some more proteins. The nucleus gains electrons. Gains neutrons and gains electrons,0
366,13131,"mRNA leaves the nucleus, then it bonds with a strand of RNA, which is then copied to tRNA, which copies itself onto a new RNA strand.",0
367,13132," Protein synthesis carries the mRNA across the membrane  From the membrane, the mRNA goes into both sides.  mRNA starts to work its way up to the plant.  Once to the top, protein synthesis stops.",0
368,13133,GIVING THE BRAIN INFORMATION FOR DNA,0
369,13134,When the mRNA leaves the nucleus it travels through the cell and then to another cell. There it gives information on the DNA to that cell.,0
370,13135, It goes to the transport From the transport it goes to the ribose The ribose carries it back to the DNA The process starts all over again,0
371,13136,"RNA leaves the nucleus, a ribosome attaches to it to read it, complementary pieces are added to the RNA until a protein is formed, then the complementary pieces break off and you have a protein.",1
372,13137,"the mRNA, Is met by tRNA with anticodons, that link to the mRNA's codons. This tRNA carries an amino acid that goes with the mRNA's codon. This is done multiple times until there is a strand of amino acids. Ribosomes attach these amino acids together.",2
373,13138,"the rna hooks with another strand and they produce more rna, which makes your appearance change gradually",0
374,13139,mRNA DNA RNA tRNA,0
375,13140,The mRNA leaves the nucleus and connects to tRNA in the ribosome.     The tRNA then makes an anticodon that matches the codons on the mRNA.     Then the tRNA goes out and finds the amino acid that matches with the anticodon that it's carrying.     Finally the all the tRNA come back and connect the amino acids in order to create the protein.,3
376,13141,mRNA leaves the nucleus and forms bonds with tRNA to create more mRNA.,0
377,13142, becomes mRNA becomes r RNA2 That becomes tRNA3 that becomes a new cell,0
378,13143,Take the information so it can make DNA copies. Get together the anti-codons.,0
379,13144, telophase anaphase prophase unaphase,0
380,13145,DNA forms.,0
381,13146,takes something to another place,0
382,13147,"Replication, division, development, four.",0
383,13148,mRNA makes a blueprint of the RNA tRNA transfers it out of the nucleus to the rRNA,0
384,13149,mRNA then turns into a protein.,0
385,13150,RNA mRNA tRNA DNA,0
386,13151,"First, the tRNA bonds with the mRNA. The tRNA then gives anticodons that match the anticodons in the mRNA. This makes an amino acid. More tRNA then comes and repeats the whole process. The mRNA leaves the amino acid in the ribosome. This whole process is repeated until there is a stop codon. Then the chain of amino acids is released. This chain is a protein.",2
387,13152,"With mRNA leaving the nucleus four major things happen with protein synthesis. They are transcription, transpiration, transloctaion, and etc.",0
388,13153,They transfer the mRNA into tRNA,0
389,13154,"TRANSPIRATION,",0
